复星医药	昊海生科	港股医美概念股拉升，瑞丽医美涨12.66%，时代天使涨6.7%，复星医药涨3.11%，康哲药业涨1.39%，昊海生科涨0.73%
金龙鱼	涪陵榨菜	【多家食品上市公司回应调价计划】金龙鱼最新表示，关于调价，公司要平衡消费者的接受度与公司的成本、利润及长远发展之间的关系，较为稳健的处理调价问题；涪陵榨菜称，在行业整体价格水平稳定的情况下，公司具备率先提价的能力，当行业出现提价趋势时，公司可暂缓提价以此挤压竞品
比亚迪	招商银行	大型科技股阿里巴巴、百度高开近3%，腾讯、京东涨近2%；李宁涨超3%；比亚迪股份高开逾3%，招商银行涨超2%
中信证券	宁德时代	【中信证券：宁德时代等多只大市值公司有望纳入沪深300】中信证券研报指出，中证、上证和深证系列指数预计将于2021年12月13日执行2021年年末指数样本股的调整
宁德时代	迈瑞医疗	此次调整，多只科创板、创业板大市值公司满足上市时间门槛后有望被纳入沪深300，例如：中芯国际、宁德时代、迈瑞医疗
智飞生物	康泰生物	维持智飞生物、康泰生物增持评级
海欣食品	恒顺醋业	【原材料等成本上行 多家食品上市公司提价“解压”】继海欣食品、恒顺醋业之后，又有A股食品公司宣布提价
贵州茅台	宁德时代	基金三季报显示，连续8个季度稳坐积极投资偏股型基金头号重仓股的贵州茅台，已让位于宁德时代
中国船舶	农业银行	【中国船舶集团：与农业银行签署战略合作协议】11月3日，中国船舶集团有限公司与中国农业银行股份有限公司在京签署战略合作协议
农业银行	中国船舶	未来5年内，农业银行将为中国船舶集团提供1000亿元等值人民币意向性综合授信额度，为后续双方扩大合作广度和深度奠定了基础
北方导航	华西证券	【北方导航：子公司完成精选层挂牌辅导验收】北方导航公告，今日公司控股子公司中兵通信辅导机构华西证券收到河南证监局下发的《辅导工作的验收工作完成函》，河南证监局已完成华西证券对中兵通信申请公开发行股票并在精选层挂牌辅导工作的验收
云南白药	新华都	【云南白药：拟对万隆控股进行强制性全面要约收购】云南白药(000538)11月4日晚间公告，为进一步强化与万隆控股的战略协同，云南白药拟以白药香港作为要约人对万隆控股进行强制性全面要约收购，云南白药与新华都香港被视为一致行动人士，合计持有万隆控股30.46%股份
嘉凯城	中信证券	【嘉凯城：股东广州凯隆拟将公司3.99%股份转让给康曼德217号基金】嘉凯城：股东广州凯隆拟将公司3.99%股份以2.358元/股价格转让给康曼德资管设立并管理的康曼德217号基金，总对价1.7亿元，用于归还广州凯隆在中信证券的质押债务本金
博睿数据	中国联通	【博睿数据“智能体验运营，释放商业潜能”催化剂项目获TM Forum创新方案最佳实施奖】记者从公司处获悉，博睿数据携手沙特电信（stc）、华为、香港电讯、中国联通、艾瑞咨询等电信运营商（CSP）和合作伙伴创新合作的“智能体验运营，释放商业潜能”催化剂项目荣获2021年全球电信管理论坛（TM Forum） 创新方案最佳实施奖
比亚迪	药明康德	大行评级：①目标价405港元！美银证券看好比亚迪电动车销售及磷酸铁锂电池应用；②大摩称小米将受益中国智能手机需求复苏；③瑞信表示保利协鑫近期股价调整提供吸引入市点；④大摩维持药明康德超配评级，目标价升至211港元
金智科技	江苏新能	【金智科技：与国能江苏新能围绕“碳达峰、碳中和”开展合作】金智科技(002090)11月4日晚间公告，与国能江苏新能签订《战略合作协议》，双方将积极争取江苏区域“双碳”项目资源，公司向国能江苏新能提供具备备案条件的项目资源，2021年争取有项目落地，2022年起争取每年30兆瓦—50兆瓦
金风科技	比亚迪	金风科技大涨11%，比亚迪涨近8%领涨蓝筹股，美团、百度、阿里巴巴、哔哩哔哩涨超2%
珠海冠宇	上汽集团	【珠海冠宇：冠宇动力电池将于2022年量产供货】珠海冠宇公告，全资子公司冠宇动力电池收到上汽集团定点通知，上汽集团选择冠宇动力电池作为其定点供应商，为其开发和供应智己LS7车型的12V锂电池，冠宇动力电池将于2022年量产供货
福莱特	福耀玻璃	港股光伏太阳能板块多数下跌，信义光能(00968.HK)跌7.68%，信义能源(03868.HK)、保利协鑫能源(03800.HK)、福莱特玻璃(06865.HK)均跌超5%，福耀玻璃(03606.HK)跌1.97%
红塔证券	游族网络	【红塔证券：向原游族网络实控人林奇子女提起诉讼 要求偿还2.67亿元】红塔证券(601236)11月3日晚间公告，公司作为原告，向原游族网络实控人林奇子女提起诉讼，涉案的金额2.67亿元
红塔证券	游族网络	红塔证券指出，2020年10月14日，林奇从红塔证券获得融资借款2.3亿元，林奇死亡后，林奇持有的游族网络股票由其子女林小溪、林芮璟、林漓继承，因三人未偿还公司融资债务，红塔证券请求判令偿还尚欠的融资借款本息2.67亿元
中国船舶	建设银行	【中国船舶集团：与建设银行签署战略合作协议】11月3日，中国船舶集团有限公司与中国建设银行股份有限公司在京签署战略合作协议
建设银行	中国船舶	建设银行将为中国船舶集团提供1000亿元等值人民币意向性融资额度，为后续双方扩大合作广度和深度奠定了基础
神州信息	神州数码	【神州控股、神州信息、神州数码集团与腾讯云签署战略合作】记者获悉，11月3日，2021腾讯数字生态大会在武汉拉开帷幕
神州信息	神州数码	开幕式当天，神州控股、神州信息、神州数码集团与腾讯云举行高层会谈及战略签约仪式，宣布建立全面战略合作伙伴关系，将在金融科技、智慧城市、智慧产业链、云及数字化等方面展开全面对接与合作，共同推动数字技术与实体经济的深度融合，赋能金融、智慧城市、零售、汽车及泛企业的数字化转型
宁德时代	佳创视讯	【又见20CM涨停 人气压倒宁德时代！元宇宙爆发 龙头股4天涨近50%】11月3日，佳创视讯涨停后，其股吧热度迅速飙升
致远互联	二六三	【致远互联：股东二六三减持公司股份约154万股】致远互联(SH 688369)11月3日晚间发布股东减持股份数量过半暨减持进展公告
通威股份	京运通	【通威股份：与京运通、晶科能源就共同向一期10万吨高纯晶硅项目实施主体增资扩股及开展相关合作】通威股份公告，公司于2021年7月1日公告了规划在乐山市五通桥区新增投资建设年产20万吨高纯晶硅项目，项目总投资预计为140亿元人民币，其中一期项目投资预计70亿元，计划2022年12月底前投产
中信证券	比亚迪	大行评级：①予阿里、百度等超配评级！巴克莱称中概科技股估值达“最具吸引力”水平 ；②中信证券：比亚迪股份闪电配售，电动智能再加码；③大和上调叮咚买菜目标价至33美元，预计Q3销售额同比增101%；④高盛称李宁管理层对中期销售前景乐观，予买入评级
佳创视讯	中青宝	元宇宙板块再度大涨，佳创视讯实现20%涨停；中青宝上涨4.42%，近四个交易日累计涨超50%
比亚迪	长城汽车	大型科技股普跌，快手跌超5%，百度、小米跌超3%，阿里跌近2%；光伏股大幅下挫，保利协鑫能源跌15%；汽车股走低，比亚迪股份、长城汽车皆跌超2%
伊利股份	隆基股份	【11月金股推荐集中度升高：10家券商推荐伊利 9家推荐隆基 看好大消费、新能源】截至11月1日晚间，合计26家券商公布了11月金股名单，其中，伊利股份获得10家券商联袂推荐，隆基股份获得9家券商联袂推荐，这一推荐集中度较上月有所提升
新希望	温氏股份	【猪周期反转？！新希望高管增持2.5亿 冯柳大举加仓温氏股份 逆势布局良机来了？】养猪股年内跌幅惨烈，但是股价近期有所回升，不过，对于当下是反转还是反弹市场仍有争议
大金重工	恒帅股份	三季度以来，共有89只个股涨幅翻倍，南方基金史博管理的基金重仓了4倍大牛股大金重工；交银施罗德基金王崇、鹏华基金梁浩重仓了3倍大牛股恒帅股份
清水源	广宇发展	湖北宜化、清水源、广宇发展等两倍大牛股的三季报中还分别出现了趣时资产、希瓦资产以及中欧基金曹名长管理的基金的身影
宁德时代	工商银行	不过午后，宁德时代从高位回调，截至收盘涨幅回落至1.69%，报收于650元/股，最新市值为1.51万亿元，比工商银行少了700亿元，排名第三
永鼎股份	通达电气	【永鼎股份：签署孟加拉国家电网升级改造交钥匙工程合作协议】永鼎股份公告，公司与关联方北京中缆通达电气成套有限公司签署《孟加拉国家电网升级改造交钥匙工程合作协议》，公司将孟加拉国家电网升级改造交钥匙工程中实施管理部分分包至北京中缆通达电气成套有限公司负责具体实施，本次合作协议暂定金额折合人民币10.7亿元
康希诺	生物股份	【康希诺生物首批A群C群脑膜炎球菌多糖结合疫苗美奈喜成功发运】记者获悉，11月2日，由康希诺生物股份公司自主研发的首批A群C群脑膜炎球菌多糖结合疫苗(CRM197载体)美奈喜成功发运，即将开展大规模接种
三峡能源	金风科技	据介绍，作为三峡能源、金风科技与阜阳市政府战略合作协议的首个重要子项目，该项目总投资10亿元，将建设区域生产制造、区域研发和区域运营三大中心，打造大型风力发电机组等风电装备研发与生产制造基地
